Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,265.777280933942
1.16,269.8305418295856
1.17,273.43510160261565
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,272.3167885396684
1.23,267.7393267747136
1.24,261.936082571165
1.25,258.5636389058077
1.26,256.44328583345134
1.27,254.44846695420333
1.28,251.2309996903236
1.29,249.5899184584049
1.3,250.21680159277523
1.31,253.7964539359761
1.32,256.8905758816862
1.33,258.7710676888375
1.34,260.726473947372
1.35,262.61259074640355
1.36,264.4070082408671
1.37,265.53541229955
1.38,265.9954040553125
1.39,264.5309436354422
1.4,263.0074017788046
1.41,261.7702503846102
1.42,259.4122718795787
1.43,nan
1.44,250.8796498825481
1.45,248.8364041133608
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,233.39989623359477
1.54,230.45833876708653
1.55,227.04716794182784
1.56,224.2783222912121
1.57,222.66734861330164
1.58,220.78975177890183
1.59,219.62659319671465
1.6,219.3404850416201
1.61,220.22469184466192
1.62,221.85402094941003
1.63,223.65572718691183
1.64,224.88982820725568
1.65,225.0841127159537
1.66,225.1087530612192
1.67,225.96317925260684
1.68,227.7252039175208
1.69,230.60363309824464
1.7,233.348721604513
1.71,235.007645478524
1.72,235.52336234713735
1.73,236.205654096854
1.74,235.9368484361245
1.75,234.337573878899
1.76,231.2546167885604
1.77,nan
1.78,221.56138806228097
1.79,nan
1.8,219.34166951444
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,231.40451792893612
1.86,232.7942556302116
1.87,234.00300043291972
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,280.9731157591062
1.99,nan
2.0,nan
2.01,nan
2.02,274.95644087147
2.03,269.94965676398886
2.04,265.6553459644136
2.05,263.3029495133211
2.06,264.8799149816969
2.07,267.28230770398164
2.08,268.3012479121563
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
