Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,318.34163832402385
0.2,318.61448545251955
0.21,320.74317978855095
0.22,321.6618214195856
0.23,321.25011512771766
0.24,320.43142321725435
0.25,316.7873065151847
0.26,313.4049641601877
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,320.190734563187
0.45,319.8243470145148
0.46,320.9161674311892
0.47,321.42415823443963
0.48,320.83689116402707
0.49,320.0775261034581
0.5,318.28464781720504
0.51,317.68431223696507
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,247.70932542606528
0.64,250.8520046912556
0.65,253.79789948699533
0.66,254.8812875421544
0.67,253.62016708384044
0.68,250.48581860776187
0.69,247.9205986506229
0.7,246.1013267827225
0.71,246.05775347387157
0.72,247.15012005267533
0.73,249.8605369017775
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,182.9198913436234
1.15,179.1789432812479
1.16,179.28138646775784
1.17,181.7649587748682
1.18,184.8671426563949
1.19,187.40976378472087
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,215.50078191589367
1.25,217.59512831591837
1.26,218.00180704109655
1.27,217.12792015124808
1.28,215.1681556397817
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,170.8868922770319
1.34,167.9691977389723
1.35,167.54791208625565
1.36,168.28821042498424
1.37,171.74736168638037
1.38,176.20548516975373
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,180.43267801810916
1.5,177.56870904383948
1.51,175.0678952644586
1.52,173.40370889357118
1.53,172.66927050488027
1.54,173.4784780671319
1.55,175.30109018018277
1.56,nan
1.57,nan
1.58,nan
1.59,226.4280913917129
1.6,229.47973903259225
1.61,229.845195897676
1.62,227.4187479214661
1.63,222.72421714343056
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,218.05519217811124
1.77,222.44050174586664
1.78,nan
1.79,218.43987285459264
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,209.7737979954781
1.93,nan
1.94,nan
1.95,208.5246146758512
1.96,nan
1.97,nan
1.98,nan
1.99,178.5884157220819
2.0,nan
2.01,177.77835845143193
2.02,179.40358167611686
2.03,nan
2.04,nan
2.05,213.5420583096104
2.06,nan
2.07,nan
2.08,215.78994459613767
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
