Time,Frequency
0.0,150.79676805926326
0.01,150.43026607131543
0.02,151.02105630789308
0.03,151.20713019347568
0.04,152.69130937766008
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,272.704074515225
0.12,272.0057608291493
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,242.67019784271852
0.85,246.93680694961543
0.86,249.3816476397512
0.87,253.48099351963057
0.88,255.21408588449805
0.89,256.01538291977056
0.9,257.0292761430153
0.91,257.93656664776427
0.92,258.4643591734339
0.93,260.0148715900684
0.94,261.9412434819731
0.95,261.84230152166054
0.96,260.8079428721676
0.97,260.67789015868067
0.98,262.12113035902314
0.99,nan
1.0,nan
1.01,nan
1.02,252.788560311847
1.03,255.3401239804701
1.04,256.6925631093835
1.05,257.5926750274343
1.06,257.5997360121808
1.07,256.047037975372
1.08,254.1901168320728
1.09,252.1391885559587
1.1,249.3651064517191
1.11,247.61122650155116
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,250.018706798685
1.18,252.0232270198497
1.19,254.0782581851264
1.2,nan
1.21,258.9626456514059
1.22,260.629763485533
1.23,261.23173804112537
1.24,260.8775559347277
1.25,259.92068864069086
1.26,nan
1.27,258.0916806876022
1.28,257.459898052609
1.29,256.4454992204218
1.3,254.5036587566034
1.31,251.8545399478498
1.32,249.49510756893324
1.33,247.82593129157215
1.34,247.2148345996413
1.35,247.73983814417903
1.36,248.93707921774103
1.37,251.2622415930117
1.38,254.26846943436715
1.39,256.79752157541566
1.4,259.4281470658815
1.41,261.32607316894405
1.42,261.8998693453249
1.43,261.9032828737595
1.44,260.9416757540693
1.45,259.47096950204264
1.46,257.14778719796203
1.47,254.3304036987766
1.48,250.7374202299863
1.49,247.95492545567976
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,258.1088421598829
1.56,260.96464511943026
1.57,263.68784087006105
1.58,265.93293050296467
1.59,267.11872138089984
1.6,266.5627836327336
1.61,265.6257050576885
1.62,263.64822573254673
1.63,260.9319091148264
1.64,258.79717352465207
1.65,256.29378254735275
1.66,254.9851800239616
1.67,254.4897435000562
1.68,254.7060718316384
1.69,254.94210972406265
1.7,256.14834177873115
1.71,258.31533997473093
1.72,261.4180900098875
1.73,265.90388861803024
1.74,269.6249230960513
1.75,272.0343559507696
1.76,273.67933619206445
1.77,273.8662749185207
1.78,273.1202966168587
1.79,270.83045779850005
1.8,265.8873340492223
1.81,262.10358481976675
1.82,260.0143071435699
1.83,257.69584208974504
1.84,256.0083086756304
1.85,255.34449668442917
1.86,255.78380179127365
1.87,257.1872013138218
1.88,258.65381737029406
1.89,260.5149542447813
1.9,262.3533709791356
1.91,264.79208602013574
1.92,266.77690500747894
1.93,nan
1.94,294.31103039876973
1.95,299.8405566620182
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,347.1369175362042
2.01,350.69647526150175
2.02,nan
2.03,350.8825716252384
2.04,nan
2.05,331.66887202939705
2.06,327.88643331094767
2.07,nan
2.08,318.1838305681385
2.09,312.76996176964315
2.1,312.02888087818826
2.11,311.98616864954704
2.12,312.40240183254525
2.13,312.7268797719192
2.14,313.6099172129925
2.15,313.9590466851952
2.16,313.4996238114851
2.17,313.3401616444325
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,300.56873004315906
2.27,299.75926256629435
2.28,298.7981782851052
2.29,298.9169226094844
2.3,301.3702689417661
2.31,304.9752564645309
2.32,307.7938097078268
2.33,282.6989612032104
2.34,245.90128988389893
2.35,219.9800377095684
2.36,192.86299433791496
2.37,nan
2.38,150.62866015169308
2.39,148.87836306263364
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,nan
2.54,nan
2.55,nan
2.56,nan
2.57,nan
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,248.02034807727784
2.89,246.21583504934907
2.9,246.81018385592375
2.91,247.64045692355555
2.92,249.8771781711091
2.93,252.86260546385705
2.94,256.5909923195468
2.95,258.8822992964431
2.96,259.8113143212644
2.97,261.1007136535347
2.98,262.6005767427633
2.99,264.03595631676166
3.0,264.3580289566495
3.01,264.2777819537343
3.02,262.4930515623911
3.03,260.97745133310644
3.04,259.1830626837087
3.05,257.3797779092393
3.06,255.5731824945416
3.07,254.03949775880767
3.08,253.6685141036175
3.09,253.6819626308916
3.1,254.40440115732795
3.11,256.73468639560247
3.12,nan
3.13,261.6317379695935
3.14,262.42059484118374
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,261.02714353413097
3.2,259.2868328998287
3.21,256.5250165623198
3.22,254.0110172350934
3.23,nan
3.24,nan
3.25,nan
3.26,nan
3.27,nan
3.28,nan
3.29,nan
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,273.8510845551164
3.43,269.0032063482452
3.44,260.1589110230585
3.45,256.62724240374365
3.46,252.26301653405125
3.47,249.1238614993596
3.48,248.0730675667812
3.49,247.82300526340805
3.5,248.17885604155904
3.51,249.29182627055977
3.52,250.67862604566088
3.53,251.53737957693184
3.54,252.66430815536188
3.55,254.30402478272444
3.56,255.8932612344173
3.57,258.26856609734284
3.58,265.4805074588852
3.59,269.96248601857
3.6,272.238986633045
3.61,272.2608352185406
3.62,nan
3.63,nan
3.64,nan
3.65,nan
3.66,nan
3.67,nan
3.68,nan
3.69,nan
3.7,nan
3.71,nan
3.72,nan
3.73,nan
3.74,nan
3.75,nan
3.76,nan
3.77,nan
3.78,nan
3.79,nan
3.8,nan
3.81,nan
3.82,nan
3.83,nan
3.84,nan
3.85,nan
3.86,nan
3.87,nan
3.88,nan
3.89,nan
3.9,nan
3.91,nan
3.92,nan
3.93,nan
3.94,nan
3.95,nan
3.96,nan
3.97,nan
3.98,nan
3.99,nan
4.0,nan
4.01,nan
4.02,nan
4.03,nan
4.04,nan
4.05,nan
4.06,nan
4.07,nan
4.08,nan
4.09,nan
4.1,nan
4.11,nan
4.12,nan
4.13,nan
4.14,nan
4.15,nan
4.16,nan
4.17,nan
4.18,nan
4.19,nan
4.2,nan
4.21,nan
4.22,nan
4.23,nan
4.24,nan
4.25,312.5693187754165
4.26,314.3117681761397
4.27,316.82234150210803
4.28,322.91380122570854
4.29,330.1377707786824
4.3,nan
4.31,346.8240108028598
4.32,nan
4.33,nan
4.34,nan
4.35,nan
4.36,nan
4.37,nan
4.38,nan
4.39,350.5018017447983
4.4,348.82834430320514
4.41,346.4096138919432
4.42,nan
4.43,336.21107928710285
4.44,336.3354025429899
4.45,nan
4.46,nan
4.47,345.3045423206298
4.48,345.07565408322563
4.49,343.14710601585614
4.5,nan
4.51,340.848064708085
4.52,340.39330730175925
4.53,nan
4.54,nan
4.55,nan
4.56,298.2433639262592
4.57,296.145038694995
4.58,298.22657899454816
4.59,nan
4.6,nan
4.61,311.1408015049289
4.62,313.15893233526293
4.63,314.63387337736333
4.64,315.4509275983051
4.65,316.0764429933523
4.66,317.64543683134013
4.67,317.64519927099434
4.68,316.52911145027355
4.69,314.9570126068694
4.7,312.9464939252081
4.71,nan
4.72,nan
4.73,nan
4.74,nan
4.75,nan
4.76,nan
4.77,308.765014132871
4.78,311.3351628648288
4.79,312.9671813085053
4.8,316.863866482263
4.81,323.13282035446656
4.82,329.5003314703271
4.83,332.8914924445553
4.84,334.7520107699755
4.85,337.8615345858157
4.86,340.9343185363823
4.87,343.980486807887
4.88,345.83642456706224
4.89,347.85230180217513
4.9,nan
4.91,nan
4.92,nan
4.93,nan
4.94,nan
4.95,nan
4.96,nan
4.97,nan
4.98,nan
4.99,nan
5.0,nan
5.01,nan
5.02,nan
5.03,nan
5.04,nan
5.05,349.8031079082986
5.06,345.9931347677445
5.07,339.4451250616287
5.08,334.69758462740504
5.09,331.8948289559812
